record_id,date,city,ward,road_name,latitude,longitude,rainfall_mm,humidity_percent,traffic_density_vph,road_age_years,vehicle_load_tons,drainage_quality_score,risk_label
RRA-00001,2025-04-02,Bangalore,Marathahalli Ward,Outer Ring Road,12.955913,77.71654,11.55,45.83,2021.0,15.6,7.49,54.34,Medium
RRA-00002,2025-01-11,Delhi,Dwarka Ward,NH48 Highway,28.592232,77.042675,8.2,47.95,824.3,3.7,13.47,33.75,Low
RRA-00003,2025-02-21,Delhi,Azadpur Ward,GT Karnal Road,28.717729,77.162284,6.68,41.1,514.1,8.5,14.26,55.67,Low
RRA-00004,2025-01-11,Pune,Vadgaon Sheri Ward,Nagar Road,18.558334,73.915014,4.69,51.19,1390.8,27.7,6.38,20.82,Medium
RRA-00005,2025-02-12,Pune,Vadgaon Sheri Ward,Nagar Road,18.55529,73.908403,5.87,45.25,,27.7,8.76,20.82,Medium
RRA-00006,2025-01-11,Pune,Baner Ward,Baner Road,18.556296,73.786654,6.93,47.41,2892.1,6.4,30.61,70.82,High
RRA-00007,2025-12-23,Bangalore,Electronic City Ward,Hosur Road,12.852686,77.661637,11.14,47.37,2459.9,3.2,10.02,45.63,Medium
RRA-00008,2025-11-09,Bangalore,HAL Ward,Old Airport Road,12.956454,77.644343,14.56,45.73,995.2,5.6,15.71,58.83,Low
RRA-00009,2025-09-25,Pune,Bibwewadi Ward,Pune Satara Road,18.465106,73.862528,18.02,57.04,1441.4,27.2,5.36,53.6,Medium
RRA-00010,2025-01-24,Mumbai,Andheri Ward,Western Express Highway,19.125832,72.838298,6.64,49.63,1462.6,18.2,9.76,59.23,Medium
RRA-00011,2025-03-24,Hyderabad,Hussain Sagar Ward,Tank Bund Road,17.429409,78.473861,3.36,50.39,691.4,22.2,15.03,26.42,Medium
RRA-00012,2025-04-22,Chennai,Teynampet Ward,Anna Salai,13.040677,80.245877,25.69,63.98,2270.7,26.0,19.04,24.53,Critical
RRA-00013,2025-01-19,Delhi,Azadpur Ward,GT Karnal Road,28.704604,77.173022,4.41,59.47,1399.7,8.5,14.44,55.67,Low
RRA-00014,2025-01-28,Chennai,Koyambedu Ward,Poonamallee High Road,13.067691,80.19529,6.0,47.82,677.3,2.5,12.97,52.88,Low
RRA-00015,2025-11-02,Bangalore,Kengeri Ward,Mysore Road,12.905949,77.486311,,47.44,504.5,10.9,2.47,33.33,Low
RRA-00016,2025-12-04,Bangalore,Electronic City Ward,Hosur Road,12.85695,77.657513,3.81,32.1,994.2,3.2,19.86,45.63,Low
RRA-00017,2025-04-19,Bangalore,Kengeri Ward,Mysore Road,12.908201,77.492696,5.65,41.87,983.5,10.9,22.78,33.33,Medium
RRA-00018,2025-10-15,Hyderabad,Banjara Hills Ward,Banjara Hills Road No 12,17.416504,78.435567,19.94,52.83,1564.6,24.5,12.66,34.45,High
RRA-00019,2025-09-27,Pune,Vadgaon Sheri Ward,Nagar Road,18.550016,73.919707,14.29,46.98,1278.5,27.7,13.55,20.82,High
RRA-00020,2025-06-19,Chennai,Koyambedu Ward,Poonamallee High Road,13.071479,80.198538,15.0,56.31,1191.5,2.5,12.36,52.88,Low
RRA-00021,2025-07-10,Hyderabad,Uppal Ward,Uppal Road,17.400568,78.562761,35.98,67.57,1404.1,22.8,6.51,33.72,High
RRA-00022,2025-03-04,Bangalore,HAL Ward,Old Airport Road,12.958722,77.639828,8.84,47.48,1483.3,5.6,13.66,58.83,Low
RRA-00023,2025-09-22,Delhi,Laxmi Nagar Ward,Vikas Marg,28.628984,77.270393,20.88,58.32,1497.8,9.6,17.03,24.48,Medium
RRA-00024,2025-12-08,Hyderabad,Uppal Ward,Uppal Road,17.405465,78.549464,14.1,59.43,1181.4,22.8,13.49,33.72,High
RRA-00025,2025-07-12,Hyderabad,Banjara Hills Ward,Banjara Hills Road No 12,17.408827,78.425311,40.58,74.77,808.8,24.5,6.09,34.45,High
RRA-00026,2025-07-07,Hyderabad,Banjara Hills Ward,Banjara Hills Road No 12,17.411271,78.427764,34.98,58.69,1413.1,24.5,14.14,34.45,High
RRA-00027,2025-09-19,Chennai,Neelankarai Ward,East Coast Road,12.961879,80.260829,28.65,62.88,2775.5,26.6,38.13,44.7,Critical
RRA-00028,2025-06-05,Mumbai,Malad Ward,Link Road,19.180493,72.849445,53.68,73.57,528.9,27.8,9.95,34.41,Critical
RRA-00029,2025-05-28,Hyderabad,Uppal Ward,Uppal Road,17.399882,78.566396,13.53,58.82,626.7,22.8,8.2,33.72,Medium
RRA-00030,2025-03-29,Chennai,Sholinganallur Ward,Old Mahabalipuram Road,12.906416,80.220272,7.21,48.29,513.0,8.9,7.15,46.95,Low
RRA-00031,2025-06-29,Chennai,Koyambedu Ward,Poonamallee High Road,13.077709,80.189466,9.65,51.07,1014.7,2.5,9.67,52.88,Low
RRA-00032,2025-12-13,Bangalore,Bannerghatta Ward,Bannerghatta Road,12.895018,77.604454,6.26,49.84,1668.1,27.2,10.46,33.99,High
RRA-00033,2025-11-13,Bangalore,Marathahalli Ward,Outer Ring Road,12.954891,77.696808,3.17,44.42,1444.1,15.6,7.07,54.34,Low
RRA-00034,2025-10-21,Hyderabad,Banjara Hills Ward,Banjara Hills Road No 12,17.432985,78.437351,7.7,40.91,609.9,24.5,21.39,34.45,Medium
RRA-00035,2025-02-24,Hyderabad,Hussain Sagar Ward,Tank Bund Road,17.425202,78.47306,10.83,44.18,2315.7,22.2,9.09,26.42,High
RRA-00036,2025-02-27,Chennai,Tambaram Ward,GST Road,12.93256,80.099474,3.07,43.68,780.0,27.5,21.68,8.73,High
RRA-00037,2025-11-13,Delhi,Dwarka Ward,NH48 Highway,28.58407,77.056754,3.76,39.84,790.0,3.7,7.88,33.75,Low
RRA-00038,2025-08-07,Delhi,Dhaula Kuan Ward,Outer Ring Road,28.59,77.175683,52.65,73.15,1221.7,27.2,10.76,32.72,Critical
RRA-00039,2025-02-14,Hyderabad,Uppal Ward,Uppal Road,17.398326,78.562913,5.06,46.12,1754.4,22.8,18.0,33.72,High
RRA-00040,2025-05-03,Bangalore,Bellandur Ward,Sarjapur Road,12.90893,77.677289,10.48,58.38,1331.6,21.0,10.54,33.19,Medium
RRA-00041,2025-11-28,Delhi,Nangloi Ward,Rohtak Road,28.678977,77.057937,2.61,50.12,878.5,7.7,22.29,55.52,Low
RRA-00042,2025-03-20,Pune,Vadgaon Sheri Ward,Nagar Road,18.563097,73.915434,10.54,47.05,589.4,27.7,7.76,20.82,Medium
RRA-00043,2025-08-22,Mumbai,Ghatkopar Ward,LBS Marg,19.093578,72.90594,,72.82,1029.6,8.0,20.06,64.75,Medium
RRA-00044,2025-11-20,Bangalore,Whitefield Ward,Whitefield Main Road,12.961136,77.752669,17.21,53.62,936.6,9.0,7.24,34.76,Low
RRA-00045,2025-12-16,Bangalore,Electronic City Ward,Hosur Road,12.836455,77.666707,2.65,37.56,1454.4,3.2,12.25,45.63,Low
RRA-00046,2025-04-02,Chennai,Neelankarai Ward,East Coast Road,12.953965,80.253894,4.85,47.61,622.2,26.6,14.94,44.7,Medium
RRA-00047,2025-01-10,Pune,Vadgaon Sheri Ward,Nagar Road,18.556701,73.916699,6.24,53.05,574.4,27.7,15.02,20.82,High
RRA-00048,2025-07-05,Bangalore,Marathahalli Ward,Outer Ring Road,12.953144,77.697546,40.65,67.22,1015.1,15.6,9.14,54.34,Medium
RRA-00049,2025-06-22,Mumbai,Thane Ward,Ghodbunder Road,19.242261,72.989461,62.71,77.33,1702.3,18.8,12.23,60.54,Critical
RRA-00050,2025-03-15,Bangalore,Whitefield Ward,Whitefield Main Road,12.969553,77.762955,6.2,40.38,1433.0,9.0,13.83,34.76,Low
RRA-00051,2025-06-26,Bangalore,Marathahalli Ward,Outer Ring Road,12.956076,77.699759,56.87,73.35,2324.9,15.6,11.99,54.34,Critical
RRA-00052,2025-10-09,Chennai,Neelankarai Ward,East Coast Road,12.964161,80.259073,30.28,67.14,519.3,26.6,13.67,44.7,High
RRA-00053,2025-03-24,Delhi,Nangloi Ward,Rohtak Road,28.6765,77.063311,6.0,45.6,838.6,7.7,6.06,55.52,Low
RRA-00054,2025-08-29,Mumbai,Malad Ward,Link Road,19.195599,72.854797,24.57,63.36,1745.4,27.8,4.21,34.41,High
